pk_cnpj,nome_instituicao,codigo_grupo,descr_grupo
33923798,BANCO MASTER S/A,1,Bancos privados
4814563,BANCO SOROCRED S.A. - BANCO MÚLTIPLO,1,Bancos privados
59274605,BANCO GM S.A.,1,Bancos privados
59109165,BANCO VOLKSWAGEN S.A.,1,Bancos privados
59118133,BANCO LUSO BRASILEIRO S.A.,1,Bancos privados
517645,BANCO RIBEIRAO PRETO S.A.,1,Bancos privados
61348538,BANCO C6 CONSIGNADO S.A.,1,Bancos privados
76543115,BANCO SISTEMA S.A.,1,Bancos privados
29030467,SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO,1,Bancos privados
62331228,DEUTSCHE BANK S.A. - BANCO ALEMAO,1,Bancos privados
91884981,BANCO JOHN DEERE S.A.,1,Bancos privados
62307848,BANCO RCI BRASIL S.A.,1,Bancos privados
62421979,BANCO CIFRA S.A.,1,Bancos privados
55230916,INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO,1,Bancos privados
7679404,BANCO TOPÁZIO S.A.,1,Bancos privados
75647891,BANCO CRÉDIT AGRICOLE BRASIL S.A.,1,Bancos privados
61190658,BANCO ITAÚ VEÍCULOS S.A.,1,Bancos privados
61182408,BANCO INVESTCRED UNIBANCO S.A.,1,Bancos privados
61186680,BANCO BMG S.A.,1,Bancos privados
58497702,BANCO LETSBANK S.A.,1,Bancos privados
23511655,DEUTSCHE SPARKASSEN LEASING DO BRASIL BANCO MÚLTIPLO S.A.,1,Bancos privados
10664513,BANCO AGIBANK S.A.,1,Bancos privados
7441209,BANCO MONEO S.A.,1,Bancos privados
15357060,BANCO WOORI BANK DO BRASIL S.A.,1,Bancos privados
58616418,BANCO FIBRA S.A.,1,Bancos privados
36658769,BANCO XCMG BRASIL S.A.,1,Bancos privados
80271455,BANCO RNX S.A.,1,Bancos privados
9274232,STATE STREET BRASIL S.A. - BANCO COMERCIAL,1,Bancos privados
33479023,BANCO CITIBANK S.A.,1,Bancos privados
60498557,BANCO MUFG BRASIL S.A.,1,Bancos privados
17298092,BANCO ITAÚ BBA S.A.,1,Bancos privados
42272526,BNY MELLON BANCO S.A.,1,Bancos privados
3532415,BANCO ABN AMRO S.A.,1,Bancos privados
92894922,BANCO ORIGINAL S.A.,1,Bancos privados
15114366,BANCO BOCOM BBM S.A.,1,Bancos privados
59588111,BANCO VOTORANTIM S.A.,1,Bancos privados
49925225,BANCO ITAULEASING S.A.,1,Bancos privados
32062580,BANCO CREDIT SUISSE (BRASIL) S.A.,1,Bancos privados
62144175,BANCO PINE S.A.,1,Bancos privados
33466988,BANCO CAIXA GERAL - BRASIL S.A.,1,Bancos privados
61088183,BANCO MIZUHO DO BRASIL S.A.,1,Bancos privados
28195667,BANCO ABC BRASIL S.A.,1,Bancos privados
60850229,OMNI BANCO S.A.,1,Bancos privados
58160789,BANCO SAFRA S.A.,1,Bancos privados
33172537,BANCO J.P. MORGAN S.A.,1,Bancos privados
795423,BANCO SEMEAR S.A.,1,Bancos privados
11703662,TRAVELEX BANCO DE CÂMBIO S.A.,1,Bancos privados
15173776,SOCIAL BANK BANCO MÚLTIPLO S/A,1,Bancos privados
11417016,SCANIA BANCO S.A.,1,Bancos privados
11758741,BANCO FINAXIS S.A.,1,Bancos privados
3634220,BANCO HONDA S.A.,1,Bancos privados
2038232,BANCO COOPERATIVO SICOOB S.A. - BANCO SICOOB,1,Bancos privados
416968,BANCO INTER S.A.,1,Bancos privados
58017179,BANCO VOLVO BRASIL S.A.,1,Bancos privados
92874270,BANCO DIGIMAIS S.A.,1,Bancos privados
3017677,BANCO J. SAFRA S.A.,1,Bancos privados
60518222,BANCO SUMITOMO MITSUI BRASILEIRO S.A.,1,Bancos privados
4902979,BANCO DA AMAZONIA S.A.,2,Bancos públicos + Caixa Econômica Federal
4913711,BANCO DO ESTADO DO PARÁ S.A.,2,Bancos públicos + Caixa Econômica Federal
7237373,BANCO DO NORDESTE DO BRASIL S.A.,2,Bancos públicos + Caixa Econômica Federal
28127603,BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO,2,Bancos públicos + Caixa Econômica Federal
92702067,BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.,2,Bancos públicos + Caixa Econômica Federal
0,BANCO DO BRASIL S.A.,2,Bancos públicos + Caixa Econômica Federal
208,BRB - BANCO DE BRASILIA S.A.,2,Bancos públicos + Caixa Econômica Federal
13009717,BANCO DO ESTADO DE SERGIPE S.A.,2,Bancos públicos + Caixa Econômica Federal
360305,CAIXA ECONOMICA FEDERAL,2,Bancos públicos + Caixa Econômica Federal
6910457,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE SANTA CRUZ DAS PALMEIRAS E REGIÃO,4,Cooperativas de Crédito
21866694,COOPERATIVA DE CRÉDITO CREDINOR LTDA - SICOOB CREDINOR,4,Cooperativas de Crédito
259231,SICOOB UNIMAIS METROPOLITANA - COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO,4,Cooperativas de Crédito
19449602,COOPERATIVA DE CRÉDITO CREDCOOPER LTDA - SICOOB CREDCOOPER,4,Cooperativas de Crédito
3165497,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS FUNCIONARIOS DA SANEPAR - CREDISANEPAR,4,Cooperativas de Crédito
21130869,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS COLABORADORES DA COOPEDER LTDA - COOPCREDER,4,Cooperativas de Crédito
90278987,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS SERVIDORES DA ASCAR/EMATER-RS LTDA-CRESAL,4,Cooperativas de Crédito
2814832,COOPERATIVA DE CRÉDITO COOPHARMA,4,Cooperativas de Crédito
8253539,COOPERATIVA DE CRÉDITO RURAL DE SÃO MIGUEL DO OESTE - SULCREDI/SÃO MIGUEL,4,Cooperativas de Crédito
913314,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA MAGNESITA REFRATÁRIOS S.A. LTDA. - CECREM,4,Cooperativas de Crédito
44905255,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DO GRUPO LORENZETTI,4,Cooperativas de Crédito
7469260,COOPERATIVA DE CRÉDITO CREDIFIEMG LTDA. - SICOOB CREDIFIEMG,4,Cooperativas de Crédito
1060307,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA UNIÃO DOS VALES DO PIRANGA E MATIPÓ LTDA.   SICOOB UNIÃO,4,Cooperativas de Crédito
68987,COOPERATIVA DE CRÉDITO SICOOB ARACREDI LTDA - SICOOB ARACREDI,4,Cooperativas de Crédito
85291086,COOPERATIVA DE CRÉDITO LITORÂNEA,4,Cooperativas de Crédito
7108146,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO VALE RIO CRIXÁS LTDA.,4,Cooperativas de Crédito
2528151,COOPERATIVA DE CRÉDITO SICOOB CREDCOOP LTDA.,4,Cooperativas de Crédito
73254757,COOPERATIVA DE CREDITO E ECONOMIA COM INTERAÇÃO SOLIDARIA DE QUILOMBO - CRESOL QUILOMBO,4,Cooperativas de Crédito
5048575,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS FUNCIONARIOS DO GRUPO MAUA LTDA,4,Cooperativas de Crédito
1530136,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA COMPANHIA PAULISTA DE TRENS METROPOLITANOS - COOPERTREM,4,Cooperativas de Crédito
3000142,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS POLICIAIS FEDERAIS DO RIO GRANDE DO SUL E SANTA CATARINA - SICREDI POL RS/SC",4,Cooperativas de Crédito
31804966,COOPERATIVA DE CRÉDITO COOPERMAIS - SICOOB COOPERMAIS,4,Cooperativas de Crédito
1330295,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES PÚBLICOS NO ESTADO DO ESPÍRITO SANTO,4,Cooperativas de Crédito
78483310,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS ITAPIRANGA - SICOOB CREDITAPIRANGA SC/RS,4,Cooperativas de Crédito
26563270,COOPERATIVA DE CREDITO RURAL DE PRIMAVERA DO LESTE,4,Cooperativas de Crédito
